fire_year,n_fires,mean_vpd_kpa
1980,10,2.1168048051810446
1981,1,2.4731463932904147
1982,2,1.9355685880967857
1983,3,1.8907221570197243
1984,6,2.061853351525915
1985,2,2.375243557360973
1986,18,2.1745212117826593
1987,4,2.1328641725785413
1988,6,2.232952147717094
1989,5,2.1630181129450503
1990,1,2.178379632630846
1991,2,2.029249380964364
1992,2,2.0828189769238903
1993,13,2.013758360237869
1994,2,2.4611912494804553
1995,11,2.1192462221040955
1996,7,2.4026673412335504
1997,0,2.065903440588861
1998,14,2.0568462688633598
1999,8,2.0377621437079423
2000,6,2.250186052936782
2001,7,2.3143535221321563
2002,4,2.3762670182932455
2003,16,2.291811297418558
2004,5,2.2657034947741828
2005,12,2.2447904253243722
2006,10,2.4463294225855545
2007,47,2.4335551124509096
2008,7,2.470132226607491
2009,3,2.335810226493678
2010,2,2.2224083515624877
2011,16,2.0418367609906944
2012,13,2.4492660394474366
2013,11,2.4246623962132197
2014,17,2.416115257046647
2015,10,2.3701297969856054
2016,17,2.5406814455683793
2017,25,2.4685866434944077
2018,5,2.501426757599525
2019,24,2.2793165592114457
2020,24,2.5096499037984352
2021,7,2.6566995507541558
2022,8,2.3908760623167056
2023,14,2.2152122635670097
2024,8,2.597155850489207
